Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2020-02-06;22,416667;
2020-02-07;22,5;
2020-02-08;23,433333;
2020-02-09;23,620833;
2020-02-10;19,85;
2020-02-11;17,566667;
2020-02-12;17,9625;
2020-02-13;19,783333;
2020-02-14;19,595833;
2020-02-15;22,5875;
2020-02-16;22,5375;
2020-02-17;23,591667;
2020-02-18;25,558333;
2020-02-19;24,55;
2020-02-20;24,275;
2020-02-21;21,508333;
2020-02-22;18,341667;
2020-02-23;17,791667;
2020-02-24;20,125;
2020-02-25;22,579167;
2020-02-26;22,008333;
2020-02-27;17,4125;
2020-02-28;17,591667;
2020-02-29;19,55;
2020-03-01;18,045833;
2020-03-02;18,691667;
2020-03-03;18,0125;
2020-03-04;18,6125;
2020-03-05;18,404167;
2020-03-06;18,65;
2020-03-07;19,2625;
2020-03-08;19,004167;
2020-03-09;20,8375;
2020-03-10;21,491667;
2020-03-11;20,95;
2020-03-12;20,929167;
2020-03-13;20,904167;
2020-03-14;22,125;
2020-03-15;24,45;
2020-03-16;24,329167;
2020-03-17;22,170833;
2020-03-18;22,325;
2020-03-19;24,525;
2020-03-20;21,691667;
2020-03-21;19,575;
2020-03-22;19,508333;
2020-03-23;19,041667;
2020-03-24;19,066667;
2020-03-25;18,658333;
2020-03-26;18,641667;
2020-03-27;19,4;
2020-03-28;20,825;
2020-03-29;21,525;
2020-03-30;21,391667;
2020-03-31;20,633333;
2020-04-01;20,575;
2020-04-02;23,895833;
2020-04-03;22,554167;
2020-04-04;18,383333;
2020-04-05;18,866667;
2020-04-06;22,370833;
2020-04-07;19,870833;
2020-04-08;17,2;
2020-04-09;16,733333;
2020-04-10;16,820833;
2020-04-11;17,1875;
2020-04-12;17,85;
2020-04-13;17,6625;
2020-04-14;19,3125;
2020-04-15;20,204167;
2020-04-16;18,341667;
2020-04-17;16,920833;
2020-04-18;17,3375;
2020-04-19;18,070833;
2020-04-20;18,1;
2020-04-21;18,333333;
2020-04-22;17,608333;
2020-04-23;18,1375;
2020-04-24;19,416667;
2020-04-25;20,304167;
2020-04-26;20,254167;
2020-04-27;18,5;
2020-04-28;19,558333;
2020-04-29;19,983333;
2020-04-30;20,670833;
2020-05-01;20,0375;
2020-05-02;19,379167;
2020-05-03;16,5;
2020-05-04;16,4125;
2020-05-05;19,2875;
2020-05-06;19,283333;
2020-05-07;13,575;
2020-05-08;14,354167;
2020-05-09;16,091667;
2020-05-10;17,158333;
2020-05-11;18,445833;
2020-05-12;18,508333;
2020-05-13;18,808333;
2020-05-14;17,35;
2020-05-15;14,9375;
2020-05-16;16,995833;
2020-05-17;16,5875;
2020-05-18;15,604167;
2020-05-19;17,816667;
2020-05-20;18,5625;
2020-05-21;19,345833;
2020-05-22;20,270833;
2020-05-23;19,741667;
2020-05-24;13,745833;
2020-05-25;13,908333;
2020-05-26;14,129167;
2020-05-27;13,204167;
2020-05-28;13,320833;
2020-05-29;15,5125;
2020-05-30;17,066667;
2020-05-31;17,2625;
2020-06-01;17,775;
2020-06-02;15,720833;
2020-06-03;16,329167;
2020-06-04;17,270833;
2020-06-05;18,7875;
2020-06-06;20,179167;
2020-06-07;20,15;
2020-06-08;19,883333;
2020-06-09;20,425;
2020-06-10;20,669565;
2020-06-11;22,329167;
2020-06-12;21,725;
2020-06-13;21,445833;
2020-06-14;15,916667;
2020-06-15;15,791667;
2020-06-16;17,366667;
2020-06-17;18,358333;
2020-06-18;18,375;
2020-06-19;19,2875;
2020-06-20;19,704167;
2020-06-21;20,35;
2020-06-22;19,7625;
2020-06-23;19,0125;
2020-06-24;18,8;
2020-06-25;20,375;
2020-06-26;16,933333;
2020-06-27;14,25;
2020-06-28;13,35;
2020-06-29;15,133333;
2020-06-30;18,3125;
2020-07-01;17,658333;
2020-07-02;12,733333;
2020-07-03;12,5375;
2020-07-04;15,7625;
2020-07-05;18,304167;
2020-07-06;19,029167;
2020-07-07;20,595833;
2020-07-08;20,891667;
2020-07-09;17,858333;
2020-07-10;14,233333;
2020-07-11;19,3375;
2020-07-12;20,779167;
2020-07-13;21,5875;
2020-07-14;16,266667;
2020-07-15;13,054167;
2020-07-16;14,491667;
2020-07-17;16,783333;
2020-07-18;17,945833;
2020-07-19;17,904167;
2020-07-20;18,3625;
2020-07-21;18,895833;
2020-07-22;18,8125;
2020-07-23;18,570833;
2020-07-24;19,3875;
2020-07-25;19,75;
2020-07-26;15,516667;
2020-07-27;19,295833;
2020-07-28;20,825;
2020-07-29;14,766667;
2020-07-30;13,279167;
2020-07-31;14,433333;
2020-08-01;15,404167;
2020-08-02;15,604167;
2020-08-03;15,15;
2020-08-04;15,316667;
2020-08-05;15,4125;
2020-08-06;15,716667;
2020-08-07;16,05;
2020-08-08;15,995833;
2020-08-09;17,145833;
2020-08-10;19,125;
2020-08-11;20,2875;
2020-08-12;19,1125;
2020-08-13;18,8625;
2020-08-14;20,604167;
2020-08-15;18,479167;
2020-08-16;17,095833;
2020-08-17;17,4375;
2020-08-18;16,641667;
2020-08-19;17,120833;
2020-08-20;14,533333;
2020-08-21;9,916667;
2020-08-22;9,854167;
2020-08-23;12,641667;
2020-08-24;13,204167;
2020-08-25;13,170833;
2020-08-26;13,629167;
2020-08-27;16,408333;
2020-08-28;19,033333;
2020-08-29;21,4125;
2020-08-30;22,0375;
2020-08-31;17,8125;
2020-09-01;17,5125;
2020-09-02;17,941667;
2020-09-03;21,775;
2020-09-04;19,841667;
2020-09-05;19,666667;
2020-09-06;21,870833;
